매체,소재,지출(만원),CTR,후기작성 전환 수,후기작성 CPA(원),후기작성 평가,단골맺기 전환 수,단골맺기 CPA(원),단골맺기 평가
Meta,테토남,30,0.6%,5,"61,104원",비효율,3,"101,840원",비효율
토스 리스트배너,건강 2_PT,49,4.7%,8,"61,305원",비효율,1,"490,442원",비효율
Meta,학원 2_edu,20,0.8%,3,"67,380원",비효율,1,"202,141원",비효율
네이버GFA 커뮤니케이션AD,학원 3_tuition,13,—,2,"69,152원",비효율,0,—,전환없음
Meta,KPI연동_후기B,70,0.8%,10,"70,467원",비효율,0,—,전환없음
토스 리스트배너,1modelreview,165,3.0%,23,"71,760원",비효율,4,"412,620원",비효율
Google DG,1modelreview,984,2.0%,119,"82,756원",비효율,112,"87,928원",비효율
Google DG,학원 2_edu,9,2.1%,1,"91,470원",비효율,0,—,전환없음
네이버GFA 커뮤니케이션AD,1modelreview,149,—,15,"99,789원",비효율,3,"498,949원",비효율
토스 리스트배너,뷰티 3_네일,50,5.5%,5,"101,973원",비효율,2,"254,933원",비효율
Google DG,건강 1_Full,34,3.0%,3,"113,632원",비효율,0,—,전환없음
네이버GFA 커뮤니케이션AD,뷰티 5_스킨,23,—,2,"115,137원",비효율,0,—,전환없음
Google DG,review100,115,2.6%,10,"115,313원",비효율,7,"164,732원",비효율
토스 리스트배너,뷰티 5_스킨,49,5.3%,4,"123,672원",비효율,0,—,전환없음
Google DG,건강 2_PT,62,1.9%,5,"124,730원",비효율,1,"623,650원",비효율
네이버GFA 커뮤니케이션AD,학원 1_Full,12,—,1,"128,847원",비효율,1,"128,847원",비효율
Google DG,건강 4_골프,53,2.6%,4,"134,636원",비효율,1,"538,544원",비효율
토스 리스트배너,건강 1_Full,53,4.9%,4,"134,831원",비효율,1,"539,325원",비효율
Google DG,도윤고백,255,2.4%,15,"170,337원",비효율,35,"73,001원",보통
Meta,review100,"1,817",1.2%,95,"191,286원",비효율,50,"363,445원",비효율
Meta,1modelreview,158,0.5%,7,"225,789원",비효율,9,"175,613원",비효율
토스 리스트배너,건강 4_골프,50,5.1%,2,"252,187원",비효율,1,"504,374원",비효율
토스 리스트배너,뷰티 2_헤어,52,5.8%,2,"260,522원",비효율,1,"521,044원",비효율
Google DG,KPI연동_후기A,3,0.4%,0,—,전환없음,1,"35,474원",보통
Google DG,KPI연동_후기A-1,3,0.5%,0,—,전환없음,0,—,전환없음
Google DG,KPI연동_후기B,1,0.8%,0,—,전환없음,0,—,전환없음
Google DG,건강 3_필라테스,18,3.1%,0,—,전환없음,0,—,전환없음
Google DG,뷰티 4_속눈썹,20,3.1%,0,—,전환없음,1,"205,409원",비효율
Google DG,뷰티 5_스킨,27,3.6%,0,—,전환없음,0,—,전환없음
Google DG,학원 1_Full,10,3.4%,0,—,전환없음,2,"54,691원",보통
Google DG,학원 3_tuition,4,3.1%,0,—,전환없음,1,"41,441원",보통
Meta,KPI연동_후기A,16,1.0%,0,—,전환없음,0,—,전환없음
Meta,KPI연동_후기A-1,12,1.0%,0,—,전환없음,0,—,전환없음
Meta,도윤고백,5,0.7%,0,—,전환없음,1,"56,185원",보통
Meta,뷰티 1_Full,5,0.6%,0,—,전환없음,1,"59,938원",보통
Meta,학원 3_tuition,5,0.6%,0,—,전환없음,1,"59,757원",보통
네이버GFA 커뮤니케이션AD,건강 1_Full,18,—,0,—,전환없음,0,—,전환없음
네이버GFA 커뮤니케이션AD,건강 3_필라테스,13,—,0,—,전환없음,0,—,전환없음
네이버GFA 커뮤니케이션AD,뷰티 2_헤어,19,—,0,—,전환없음,2,"96,657원",비효율
네이버GFA 커뮤니케이션AD,뷰티 3_네일,19,—,0,—,전환없음,0,—,전환없음
네이버GFA 커뮤니케이션AD,학원 2_edu,12,—,0,—,전환없음,0,—,전환없음
